scenario,base_controller,seed,A_travel_time_s,B_travel_time_s,A_delay_s,B_delay_s,A_stops,B_stops,A_completion_cycle,B_completion_cycle,travel_time_pct,priority_intersections_B,during_waiting_vehicle_seconds_A,during_waiting_vehicle_seconds_B,during_waiting_vehicle_seconds_diff,during_waiting_vehicle_seconds_pct,during_average_queue_vehicles_A,during_average_queue_vehicles_B,during_average_queue_vehicles_diff,during_average_queue_vehicles_pct,during_max_queue_vehicles_A,during_max_queue_vehicles_B,during_max_queue_vehicles_diff,during_max_queue_vehicles_pct,during_throughput_vehicles_per_hour_A,during_throughput_vehicles_per_hour_B,during_throughput_vehicles_per_hour_diff,during_throughput_vehicles_per_hour_pct,during_final_queue_vehicles_A,during_final_queue_vehicles_B,during_final_queue_vehicles_diff,during_final_queue_vehicles_pct,during_vehicles_rejected_A,during_vehicles_rejected_B,during_vehicles_rejected_diff,during_vehicles_rejected_pct,during_blocked_vehicle_cycles_A,during_blocked_vehicle_cycles_B,during_blocked_vehicle_cycles_diff,during_blocked_vehicle_cycles_pct,during_fuel_liters_proxy_A,during_fuel_liters_proxy_B,during_fuel_liters_proxy_diff,during_fuel_liters_proxy_pct,during_co2_kg_proxy_A,during_co2_kg_proxy_B,during_co2_kg_proxy_diff,during_co2_kg_proxy_pct,post_waiting_vehicle_seconds_A,post_waiting_vehicle_seconds_B,post_waiting_vehicle_seconds_diff,post_waiting_vehicle_seconds_pct,post_average_queue_vehicles_A,post_average_queue_vehicles_B,post_average_queue_vehicles_diff,post_average_queue_vehicles_pct,post_max_queue_vehicles_A,post_max_queue_vehicles_B,post_max_queue_vehicles_diff,post_max_queue_vehicles_pct,post_throughput_vehicles_per_hour_A,post_throughput_vehicles_per_hour_B,post_throughput_vehicles_per_hour_diff,post_throughput_vehicles_per_hour_pct,post_final_queue_vehicles_A,post_final_queue_vehicles_B,post_final_queue_vehicles_diff,post_final_queue_vehicles_pct,post_vehicles_rejected_A,post_vehicles_rejected_B,post_vehicles_rejected_diff,post_vehicles_rejected_pct,post_blocked_vehicle_cycles_A,post_blocked_vehicle_cycles_B,post_blocked_vehicle_cycles_diff,post_blocked_vehicle_cycles_pct,post_fuel_liters_proxy_A,post_fuel_liters_proxy_B,post_fuel_liters_proxy_diff,post_fuel_liters_proxy_pct,post_co2_kg_proxy_A,post_co2_kg_proxy_B,post_co2_kg_proxy_diff,post_co2_kg_proxy_pct,total_waiting_vehicle_seconds_A,total_waiting_vehicle_seconds_B,total_waiting_vehicle_seconds_diff,total_waiting_vehicle_seconds_pct,total_average_queue_vehicles_A,total_average_queue_vehicles_B,total_average_queue_vehicles_diff,total_average_queue_vehicles_pct,total_max_queue_vehicles_A,total_max_queue_vehicles_B,total_max_queue_vehicles_diff,total_max_queue_vehicles_pct,total_throughput_vehicles_per_hour_A,total_throughput_vehicles_per_hour_B,total_throughput_vehicles_per_hour_diff,total_throughput_vehicles_per_hour_pct,total_final_queue_vehicles_A,total_final_queue_vehicles_B,total_final_queue_vehicles_diff,total_final_queue_vehicles_pct,total_vehicles_rejected_A,total_vehicles_rejected_B,total_vehicles_rejected_diff,total_vehicles_rejected_pct,total_blocked_vehicle_cycles_A,total_blocked_vehicle_cycles_B,total_blocked_vehicle_cycles_diff,total_blocked_vehicle_cycles_pct,total_fuel_liters_proxy_A,total_fuel_liters_proxy_B,total_fuel_liters_proxy_diff,total_fuel_liters_proxy_pct,total_co2_kg_proxy_A,total_co2_kg_proxy_B,total_co2_kg_proxy_diff,total_co2_kg_proxy_pct
balanced_medium,fixed,0,207.65847191660305,142.0,117.65847191660305,52.0,3,3,43,42,-31.618489392993272,4,35672.06934800325,36765.29382013618,1093.2244721329334,3.0646511181278773,6.193067595139453,6.38286351044031,0.1897959153008566,3.064651118127879,14.665035986465558,17.384754774427947,2.719718787962389,18.545599141198373,7391.531433677204,7355.760112060786,-35.77132161641839,-0.48395007093438763,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.945344891333875,6.127548970022697,0.18220407868882216,3.064651118127876,13.957868539589285,14.385628513854627,0.4277599742653422,3.064651118127877,395013.24993592047,395163.9430567287,150.6931208082242,0.03814887749529157,5.963364280433582,5.965639236967522,0.0022749565339408306,0.03814887749529573,14.995891197681933,14.995891197681933,0.0,0.0,7156.147616541276,7159.258166247052,3.110549705776066,0.04346681863557565,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,65.83554165598675,65.86065717612145,0.02511552013470464,0.038148877495292485,154.56190556856845,154.6208692005782,0.058963632009749745,0.038148877495296954,518274.58210520237,519518.4996981435,1243.917592941143,0.24001130595454234,5.998548403995398,6.012945598358143,0.014397194362745225,0.24001130595455092,14.995891197681933,17.384754774427947,2.3888635767460134,15.93012075944699,7196.550528057851,7196.550528057851,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,86.37909701753372,86.58641661635725,0.20731959882353124,0.24001130595455092,202.7919494622734,203.2786730685485,0.4867236062750919,0.24001130595454923
balanced_medium,fixed,1,207.61027321397296,142.0,117.61027321397296,52.0,3,3,43,42,-31.60261397390095,4,34105.037632354135,35610.267163069126,1505.2295307149907,4.413510833622531,5.921013477839259,6.1823380491439455,0.26132457130468634,4.413510833622539,14.872178256277362,20.496078049119966,5.623899792842604,37.81490307560579,7150.464281769324,7084.22096442923,-66.24331734009411,-0.9264198061793932,0.0,3.6827748204528064,3.6827748204528064,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.684172938725689,5.935044527178187,0.25087158845249746,4.413510833622513,13.344715922312774,13.933686405260197,0.5889704829474223,4.413510833622509,393196.3520648931,393347.3265809072,150.97451601410285,0.03839672347448077,5.93593526668015,5.938214471330121,0.0022792046499713337,0.03839672347448033,14.988512358785085,14.988512358785085,0.0,0.0,7136.6136046334805,7142.373893097836,5.760288464355654,0.08071459074953644,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,65.53272534414884,65.55788776348453,0.02516241933568608,0.038396723474484244,153.85098461284096,153.9100583499655,0.05907373712454955,0.03839672347447495,513624.5429217737,515280.74696850276,1656.204046729079,0.32245422644870053,5.944728506039048,5.963897534357671,0.01916902831862366,0.32245422644870153,14.988512358785085,20.496078049119966,5.50756569033488,36.74524568214923,7152.62587862233,7152.62587862233,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,85.60409048696228,85.88012449475045,0.27603400778816933,0.32245422644868826,200.9724689327574,201.62051315282937,0.6480442200719665,0.3224542264486948
balanced_medium,fixed,2,209.14334248736486,140.825319354572,119.14334248736486,50.825319354572,3,3,43,42,-32.665645638192004,4,35071.704662596094,36618.05810995671,1546.3534473606196,4.409119722685743,6.088837615034044,6.357301755200818,0.268464140166774,4.409119722685739,14.770978374351081,16.07293449958121,1.3019561252301273,8.814284959558915,7263.853845079392,7251.2707203674645,-12.583124711927667,-0.17322932124318008,0.0,0.7770337179390836,0.7770337179390836,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.845284110432682,6.103009684992785,0.25772557456010325,4.409119722685743,13.722956141517429,14.328017707288588,0.6050615657711589,4.409119722685739,392432.5636802207,392545.04947913595,112.48579891526606,0.0286637270516946,5.924404644930868,5.926102800107729,0.0016981551768608938,0.028663727051694485,14.97325629672579,15.471853346967787,0.4985970502419974,3.3299172896080456,7115.566458364904,7116.660643122462,1.0941847575577412,0.015377338739791288,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,65.40542728003678,65.42417491318932,0.01874763315254313,0.02866372705169275,153.55212732588853,153.59614108854728,0.04401376265875001,0.02866372705168598,514351.10888329695,516009.9481295728,1658.8392462758347,0.32251106639535115,5.953137834297419,5.972337362610796,0.019199528313377456,0.32251106639534677,14.97325629672579,16.07293449958121,1.0996782028554186,7.344282239367571,7143.469411358988,7143.469411358988,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,85.72518481388282,86.00165802159547,0.27647320771265527,0.32251106639536997,201.25676172433467,201.9058370527646,0.6490753284299444,0.3225110663953719
balanced_medium,fixed,3,204.17050978995167,140.47830151836342,114.17050978995167,50.47830151836342,4,3,43,42,-31.195596434134426,4,33649.884731947255,35158.01379518058,1508.1290632333257,4.481825347239616,5.841993877074176,6.103821839441073,0.26182796236689665,4.481825347239613,14.971873887516715,22.334737402140124,7.36286351462341,49.177969103536434,7072.3124825482655,6962.291421516164,-110.0210610321019,-1.5556589348051484,0.0,5.623192315903214,5.623192315903214,,0.0,0.0,0.0,,0.0,0.0,0.0,,5.608314121991209,5.859668965863429,0.2513548438722202,4.481825347239603,13.1666224036185,13.756727423879203,0.5901050202607028,4.481825347239607,400024.29366470454,400513.4339714342,489.1403067296487,0.12227765025182198,6.039014095179718,6.04639845971368,0.007384364533962184,0.12227765025182359,14.971873887516715,15.0,0.028126112483285226,0.18785966736425883,7242.671063389345,7252.238112174745,9.567048785399493,0.13209282461769584,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,66.67071561078409,66.75223899523903,0.08152338445493967,0.12227765025181933,156.52264098120062,156.71403318870455,0.19139220750392383,0.12227765025183243,518867.1623206496,520864.43169061263,1997.2693699630327,0.38492884402824473,6.005406971303815,6.028523514937646,0.0231165436338312,0.38492884402824146,14.997369102161212,22.334737402140124,7.3373682999789125,48.92436966775428,7203.639257220267,7203.639257220267,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,86.47786038677492,86.8107386151021,0.33287822832717495,0.38492884402824806,203.0238159308453,203.80531315860995,0.7814972277646461,0.3849288440282506
balanced_medium,fixed,4,207.87625853388727,142.0,117.87625853388727,52.0,4,3,43,42,-31.690130945448175,4,36058.87749050023,38182.207832448126,2123.330341947898,5.888509265179685,6.260221786545179,6.628855526466689,0.36863373992150983,5.888509265179681,14.997154842146532,21.000854503037978,6.003699660891446,40.032257612085445,7557.529493522431,7395.682498160181,-161.8469953622498,-2.1415330962448653,0.0,5.739803419119951,5.739803419119951,,0.0,0.0,0.0,,0.0,0.0,0.0,,6.009812915083371,6.3637013054080205,0.35388839032464947,5.888509265179683,14.109219927431262,14.94004265010263,0.8308227226713676,5.88850926517968,401359.57707374403,401774.0284375663,414.45136382227065,0.10326185981258426,6.059172359205073,6.065429173272438,0.006256814067365113,0.10326185981258287,14.994636134432824,15.065231060020789,0.07059492558796521,0.4708011915397871,7283.510094682445,7297.583746453076,14.073651770630931,0.19322622729535094,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,66.89326284562401,66.96233807292772,0.0690752273037134,0.10326185981258669,157.04511446331477,157.2072821692544,0.16216770593962337,0.10326185981258604,523752.6538869913,526290.4355927615,2537.781705770176,0.48453820461552183,6.061952012580918,6.091324486027332,0.029372473446414027,0.48453820461552105,14.997154842146532,21.000854503037978,6.003699660891446,40.032257612085445,7278.718285933929,7278.718285933929,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,87.29210898116523,87.71507259879358,0.4229636176283549,0.4845382046155129,204.93542493701273,205.9284153656237,0.9929904286109661,0.4845382046155092
balanced_medium,adaptive,0,242.0,202.0,152.0,112.0,4,4,44,43,-16.528925619834713,4,47585.634819614716,49880.45937598638,2294.8245563716628,4.822515376900552,6.609115947168711,6.927841579998108,0.3187256328293975,4.82251537690055,19.100836201100925,20.13502511177953,1.0341889106786049,5.414364584828997,7357.969166290882,7291.993204382356,-65.97596190852528,-0.8966599399570936,3.1161301576027753,17.74440741375185,14.628277256149076,469.43729935217283,0.0,0.0,0.0,,0.0,0.0,0.0,,7.930939136602452,8.31340989599773,0.38247075939527697,4.82251537690055,18.61944225061513,19.517367716244163,0.897925465629033,4.822515376900553,407653.15288100054,407990.97833368817,337.82545268762624,0.0828708058063866,6.290943717299391,6.296157073050743,0.005213355751352289,0.08287080580638712,19.721806114638845,19.721806114638845,0.0,0.0,7152.894679360096,7160.225341794377,7.330662434280384,0.10248525614997858,11.47693722845225,11.47693722845225,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,67.94219214683342,67.99849638894803,0.056304242114606495,0.08287080580638972,159.50768266771703,159.63986796966688,0.13218530194984623,0.08287080580639605,548187.2029158686,550819.852924928,2632.650009059347,0.4802465280210828,6.344759293007739,6.375229779223703,0.0304704862159646,0.48024652802108175,19.721806114638845,20.13502511177953,0.4132189971406852,2.0952391212991714,7187.44758047995,7187.44758047995,0.0,0.0,11.47693722845225,11.47693722845225,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,91.36453381931143,91.80330882082131,0.4387750015098817,0.4802465280210724,214.49624463160407,215.52635539918293,1.0301107675788614,0.48024652802107104
balanced_medium,adaptive,1,242.0,142.0,152.0,52.0,4,3,44,42,-41.32231404958678,4,46352.14620048635,47208.550907925455,856.4047074391056,1.8476052947686803,6.437798083400882,6.556743181656313,0.11894509825543143,1.847605294768682,18.15505037573719,18.15505037573719,0.0,0.0,7096.084454901791,7167.032206705076,70.94775180328452,0.9998154933778395,20.347202852582605,8.118885296311534,-12.22831755627107,-60.0982731870635,0.0,0.0,0.0,,0.0,0.0,0.0,,7.725357700081058,7.868091817987575,0.14273411790651735,1.8476052947686776,18.136799322813214,18.47189578740308,0.3350964645898671,1.84760529476868,409386.77285097213,409522.34228815284,135.56943718070397,0.033115246063422504,6.3176971118977185,6.319789232841865,0.0020921209441464583,0.03311524606341921,19.859195273010943,19.83116465253671,-0.028030620474233103,-0.1411468092683861,7144.013992660731,7136.130909127033,-7.883083533697572,-0.11034529806067164,11.673604563894676,11.673604563894676,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,68.23112880849536,68.25372371469214,0.022594906196786724,0.0331152460634265,160.18601840995862,160.23906440411426,0.05304599415563871,0.03311524606341104,544881.5132598132,545873.487404433,991.9741446197731,0.1820531841290007,6.306498996062652,6.317980178292048,0.01148118222939587,0.18205318412900623,19.859195273010943,19.83116465253671,-0.028030620474233103,-0.1411468092683861,7140.644055287131,7140.644055287131,0.0,0.0,11.673604563894676,11.673604563894676,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,90.8135855433022,90.9789145674055,0.16532902410330053,0.18205318412900623,213.20278500071544,213.59092745946094,0.3881424587455058,0.18205318412899874
balanced_medium,adaptive,2,209.14334248736486,140.825319354572,119.14334248736486,50.825319354572,3,4,43,42,-32.665645638192004,4,37368.17310170144,38466.68092858087,1098.5078268794314,2.93968833822763,6.487530052378722,6.6782432167675125,0.19071316438879027,2.9396883382276315,19.063842808171334,19.063842808171334,0.0,0.0,7217.774495656324,7228.932364910333,11.157869254008801,0.15458877609329078,11.675255939246808,15.129692053741001,3.454436114494193,29.587669276542172,0.0,0.0,0.0,,0.0,0.0,0.0,,6.228028850283573,6.411113488096811,0.1830846378132387,2.939688338227633,14.621524830248193,15.051352090554058,0.42982726030586527,2.9396883382276426,418942.84229544114,418724.59503239114,-218.24726304999785,-0.05209475876331801,6.324620203735525,6.321325408097692,-0.003294795637832415,-0.05209475876332309,19.69432448072834,19.69432448072834,0.0,0.0,7121.577980496697,7120.6077309963475,-0.9702495003493823,-0.013624080267133604,6.709527051559615,6.709527051559615,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,69.82380704924019,69.78743250539851,-0.03637454384167427,-0.052094758763329405,163.92514438439693,163.83974797587743,-0.08539640851950026,-0.05209475876333505,546421.5111909786,547301.771754808,880.2605638294481,0.16109551798406233,6.324323046191882,6.33451124716213,0.010188200970247863,0.16109551798405633,19.69432448072834,19.69432448072834,0.0,0.0,7138.260570866075,7138.260570866075,0.0,0.0,6.709527051559615,6.709527051559615,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,91.0702518651631,91.21696195913466,0.14671009397156354,0.16109551798405009,213.8053597620714,214.14979061385776,0.34443085178637034,0.16109551798404992
balanced_medium,adaptive,3,302.0,140.47830151836342,212.0,50.47830151836342,4,4,45,42,-53.48400611974721,4,53989.13041884873,54312.1489177426,323.01849889387086,0.5983028368634336,6.24874194662601,6.286128346960949,0.03738640033493823,0.598302836863425,18.083620473897415,22.334737402140124,4.251116928242709,23.508107430030027,7081.106932802941,7125.800666675193,44.69373387225187,0.6311687465869208,10.630551394799898,9.014524610637977,-1.616026784161921,-15.2017211915501,0.0,0.0,0.0,,0.0,0.0,0.0,,8.998188403141453,9.052024819623766,0.05383641648231219,0.5983028368634378,21.125020183198675,21.251411778242726,0.12639159504405129,0.5983028368634369,410526.1483697399,410561.0943269943,34.94595725444378,0.00851248023864481,6.4792637053304905,6.479815251373016,0.000551546042525608,0.008512480238639632,19.57323862701657,19.57323862701657,0.0,0.0,7243.226481319378,7237.1318812458885,-6.094600073489346,-0.0841420614032656,7.913303986001697,7.913303986001697,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,68.42102472828998,68.42684905449906,0.0058243262090798,0.00851248023865334,160.63183649673795,160.6455102500767,0.013673753338764527,0.008512480238649459,553740.507987884,554098.4724440323,357.9644561483292,0.06464480221052593,6.409033657267176,6.413176764398522,0.0041431071313464685,0.06464480221052696,19.57323862701657,22.334737402140124,2.761498775123556,14.108542933267628,7195.377281517949,7195.377281517949,0.0,0.0,7.913303986001697,7.913303986001697,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,92.29008466464732,92.34974540733872,0.05966074269139199,0.06464480221053005,216.6691576016716,216.80922295005442,0.14006534838281937,0.06464480221052872
balanced_medium,adaptive,4,247.87625853388727,142.0,157.87625853388727,52.0,4,3,44,42,-42.71335187972949,4,48877.103041267,50296.48801045983,1419.3849691928262,2.9039875133238517,6.788486533509306,6.985623334786087,0.19713680127678135,2.9039875133238504,18.95396061677301,21.69096466997432,2.7370040532013107,14.440275088359325,7577.677388887695,7557.385812848003,-20.29157603969179,-0.2677809439268083,7.995809383856026,7.995809383856026,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,8.146183840211167,8.382748001743304,0.23656416153213655,2.9039875133238375,19.124771601851347,19.68015258112081,0.5553809792694651,2.9039875133238304,420045.8445194366,420096.57345953584,50.72894009924494,0.012077000822917933,6.482188958633281,6.482971812647158,0.0007828540138765661,0.012077000822907587,19.617426400623483,19.617426400623483,0.0,0.0,7290.345507154757,7292.600126714722,2.254619559965249,0.03092610024795892,8.398807392238476,8.398807392238476,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,70.00764075323943,70.0160955765893,0.008454823349865137,0.01207700082290505,164.35673022516244,164.37657958882423,0.01984936366179113,0.012077000822904095,559850.4269709832,561320.5408802752,1470.1139092920348,0.26259047746840963,6.479750312164157,6.49676551944763,0.017015207283472833,0.26259047746841285,19.617426400623483,21.69096466997432,2.0735382693508377,10.569879182954072,7271.577793826186,7271.577793826186,0.0,0.0,8.398807392238476,8.398807392238476,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,93.30840449516386,93.55342348004585,0.24501898488199458,0.26259047746839764,219.0598640426595,219.63509438559078,0.5752303429312633,0.26259047746840725
