scenario,seed,controller,cycles,simulated_hours,vehicles_demanded,vehicles_admitted,vehicles_rejected,vehicles_served_stop_line,vehicles_exited,throughput_vehicles_per_hour,blocked_vehicle_cycles,waiting_vehicle_seconds,waiting_seconds_per_admitted,waiting_minutes_per_admitted,average_queue_vehicles,max_queue_vehicles,final_queue_vehicles,in_transit_final_vehicles,node_cycles,plan_changes,plan_change_rate,green_seconds_ns,green_seconds_ew,ns_green_share,phase_utilization_ns,phase_utilization_ew,emergency_priority_cycles,emergency_priority_node_cycles,emergency_override_plan_changes,fuel_liters_proxy,co2_kg_proxy,fuel_liters_proxy_per_admitted,co2_kg_proxy_per_admitted,idle_fuel_rate_lph_assumed,emission_factor_kg_per_liter_assumed,waiting_seconds_per_admitted_pct_vs_fixed,waiting_vehicle_seconds_pct_vs_fixed,average_queue_vehicles_pct_vs_fixed,max_queue_vehicles_pct_vs_fixed,throughput_vehicles_per_hour_pct_vs_fixed,vehicles_rejected_pct_vs_fixed,blocked_vehicle_cycles_pct_vs_fixed,final_queue_vehicles_pct_vs_fixed,fuel_liters_proxy_pct_vs_fixed,co2_kg_proxy_pct_vs_fixed,fuel_liters_proxy_per_admitted_pct_vs_fixed,co2_kg_proxy_per_admitted_pct_vs_fixed
balanced_medium,0,fixed,60,1.0,7205.289901892303,7205.289901892303,0.0,17275.819403506746,7196.550528057851,7196.550528057851,0.0,518274.58210520237,71.92973345445678,1.198828890907613,5.998548403995398,14.995891197681933,0.0,180.22137936530353,360,0,0.0,10800.0,10800.0,0.5,0.8005189513087319,0.7990939564233733,0,0,0,86.37909701753372,202.7919494622734,0.01198828890907613,0.028144870258310466,0.6,2.347697029306865,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
balanced_medium,0,adaptive,60,1.0,7205.289901892303,7205.289901892303,0.0,17251.520198832488,7187.44758047995,7187.44758047995,0.0,548187.2029158686,76.08121399416558,1.268020233236093,6.344759293007739,19.721806114638845,11.47693722845225,177.84738971475193,360,293,0.827683615819209,10820.0,10780.0,0.5009259259259259,0.7983725173604482,0.7989916104816711,0,0,0,91.36453381931143,214.49624463160407,0.01268020233236093,0.02976927334669374,0.6,2.347697029306865,5.771577816755517,5.771577816755521,5.771577816755529,31.514731966629927,-0.12649042819070092,,,,5.771577816755524,5.771577816755533,5.77157781675552,5.771577816755534
balanced_medium,0,qubo_static,60,1.0,7205.289901892303,7205.289901892303,0.0,17275.819403506746,7196.550528057851,7196.550528057851,0.0,518274.58210520237,71.92973345445678,1.198828890907613,5.998548403995398,14.995891197681933,0.0,180.22137936530353,360,0,0.0,10800.0,10800.0,0.5,0.8005189513087319,0.7990939564233733,0,0,0,86.37909701753372,202.7919494622734,0.01198828890907613,0.028144870258310466,0.6,2.347697029306865,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
balanced_medium,0,qubo_receding,60,1.0,7205.289901892303,7205.289901892303,0.0,17275.819403506746,7196.550528057851,7196.550528057851,0.0,518274.58210520237,71.92973345445678,1.198828890907613,5.998548403995398,14.995891197681933,0.0,180.22137936530353,360,0,0.0,10800.0,10800.0,0.5,0.8005189513087319,0.7990939564233733,0,0,0,86.37909701753372,202.7919494622734,0.01198828890907613,0.028144870258310466,0.6,2.347697029306865,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
balanced_medium,0,qaoa_p1_saved,60,1.0,7205.289901892303,7083.563887055177,121.72601483712671,16884.08152292476,6986.538662312993,6986.538662312993,230.39715559078255,757523.5564279467,106.94102128623126,1.782350354770521,8.767633754953087,40.0,90.0,178.50723027303476,360,0,0.0,10200.0,11400.0,0.4722222222222222,0.8092026268188541,0.7570363797695115,0,0,0,126.25392607132443,296.4059671759769,0.01782350354770521,0.04184418633078788,0.6,2.347697029306865,48.674291075946115,46.162590754678405,46.16259075467842,166.7397320552926,-2.9182295729886834,,,,46.1625907546784,46.1625907546784,48.674291075946094,48.674291075946094
balanced_medium,1,fixed,60,1.0,7147.969356035993,7147.969356035993,0.0,17120.818097392454,7152.62587862233,7152.62587862233,0.0,513624.5429217737,71.85600795672849,1.1976001326121415,5.944728506039048,14.988512358785085,0.0,165.99946893074105,360,0,0.0,10800.0,10800.0,0.5,0.8014153850478642,0.7838455498958803,0,0,0,85.60409048696228,200.9724689327574,0.011976001326121413,0.02811602273631032,0.6,2.347697029306865,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
balanced_medium,1,adaptive,60,1.0,7147.969356035993,7147.969356035993,0.0,17097.162669493362,7140.644055287131,7140.644055287131,0.0,544881.5132598132,76.22885411500769,1.2704809019167949,6.306498996062652,19.859195273010943,11.673604563894676,166.30768770204529,360,240,0.6779661016949152,10780.0,10820.0,0.49907407407407406,0.8016521619144411,0.7814558561973836,0,0,0,90.8135855433022,213.20278500071544,0.01270480901916795,0.02982704239221166,0.6,2.347697029306865,6.085567905348317,6.085567905348328,6.0855679053483165,32.49610633553668,-0.16751642737263814,,,,6.085567905348328,6.085567905348331,6.085567905348342,6.085567905348334
balanced_medium,1,qubo_static,60,1.0,7147.969356035993,7147.969356035993,0.0,17120.818097392454,7152.62587862233,7152.62587862233,0.0,513624.5429217737,71.85600795672849,1.1976001326121415,5.944728506039048,14.988512358785085,0.0,165.99946893074105,360,0,0.0,10800.0,10800.0,0.5,0.8014153850478642,0.7838455498958803,0,0,0,85.60409048696228,200.9724689327574,0.011976001326121413,0.02811602273631032,0.6,2.347697029306865,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
balanced_medium,1,qubo_receding,60,1.0,7147.969356035993,7147.969356035993,0.0,17120.818097392454,7152.62587862233,7152.62587862233,0.0,513624.5429217737,71.85600795672849,1.1976001326121415,5.944728506039048,14.988512358785085,0.0,165.99946893074105,360,0,0.0,10800.0,10800.0,0.5,0.8014153850478642,0.7838455498958803,0,0,0,85.60409048696228,200.9724689327574,0.011976001326121413,0.02811602273631032,0.6,2.347697029306865,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
balanced_medium,2,fixed,60,1.0,7140.002581027705,7140.002581027705,0.0,17145.036962776565,7143.469411358988,7143.469411358988,0.0,514351.10888329695,72.03794439094771,1.2006324065157952,5.953137834297419,14.97325629672579,0.0,158.7666450022673,360,0,0.0,10800.0,10800.0,0.5,0.7925942776164787,0.7949091448628325,0,0,0,85.72518481388282,201.25676172433467,0.012006324065157952,0.028187211340666846,0.6,2.347697029306865,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
