scenario,base_controller,seed,mode,window,first_cycle,last_cycle,cycles,simulated_hours,vehicles_demanded,vehicles_admitted,vehicles_rejected,vehicles_served_stop_line,vehicles_exited,throughput_vehicles_per_hour,blocked_vehicle_cycles,waiting_vehicle_seconds,waiting_seconds_per_admitted,waiting_minutes_per_admitted,average_queue_vehicles,max_queue_vehicles,final_queue_vehicles,in_transit_final_vehicles,node_cycles,plan_changes,plan_change_rate,green_seconds_ns,green_seconds_ew,ns_green_share,phase_utilization_ns,phase_utilization_ew,emergency_priority_cycles,emergency_priority_node_cycles,emergency_override_plan_changes,emergency_completed,emergency_entry_cycle,emergency_completion_cycle,emergency_travel_time_s,emergency_free_flow_time_s,emergency_delay_s,emergency_stops,emergency_prioritized_intersections,fuel_liters_proxy,co2_kg_proxy,fuel_liters_proxy_per_admitted,co2_kg_proxy_per_admitted,idle_fuel_rate_lph_assumed,emission_factor_kg_per_liter_assumed
balanced_medium,fixed,0,A_no_override,during,40,43,4,0.06666666666666667,492.82623209289756,492.82623209289756,0.0,1189.068978266775,492.76876224514695,7391.531433677204,0.0,35672.06934800325,72.38265137899371,1.2063775229832285,6.193067595139453,14.665035986465558,0.0,176.48559835769325,24,0,0.0,720.0,720.0,0.5,0.8136884817868645,0.8377962102503229,0,0,0,True,40,43,207.65847191660305,90.0,117.65847191660305,3,0,5.945344891333875,13.957868539589285,0.012063775229832286,0.028322089269303,0.6,2.347697029306865
balanced_medium,fixed,0,A_no_override,post,44,89,46,0.7666666666666667,5490.115620355922,5490.115620355922,0.0,13167.108331197349,5486.379839348312,7156.147616541276,0.0,395013.24993592047,71.94989636854167,1.1991649394756945,5.963364280433582,14.995891197681933,0.0,180.22137936530353,276,0,0.0,8280.0,8280.0,0.5,0.7958399036157848,0.7943905711665037,0,0,0,True,40,43,207.65847191660305,90.0,117.65847191660305,3,0,65.83554165598675,154.56190556856845,0.011991649394756946,0.028152759660560345,0.6,2.347697029306865
balanced_medium,fixed,0,A_no_override,total,30,89,60,1.0,7205.289901892303,7205.289901892303,0.0,17275.819403506746,7196.550528057851,7196.550528057851,0.0,518274.58210520237,71.92973345445678,1.198828890907613,5.998548403995398,14.995891197681933,0.0,180.22137936530353,360,0,0.0,10800.0,10800.0,0.5,0.8005189513087319,0.7990939564233733,0,0,0,True,40,43,207.65847191660305,90.0,117.65847191660305,3,0,86.37909701753372,202.7919494622734,0.01198828890907613,0.028144870258310466,0.6,2.347697029306865
balanced_medium,fixed,0,B_corridor,during,40,43,4,0.06666666666666667,492.82623209289756,492.82623209289756,0.0,1184.0458742398337,490.38400747071904,7355.760112060786,0.0,36765.29382013618,74.60092711381066,1.2433487852301777,6.38286351044031,17.384754774427947,0.0,178.87035313212118,24,6,0.3333333333333333,690.0,750.0,0.4791666666666667,0.8456100755248037,0.8007665628369589,3,5,5,True,40,42,142.0,90.0,52.0,3,4,6.127548970022697,14.385628513854627,0.012433487852301774,0.029190062494771872,0.6,2.347697029306865
balanced_medium,fixed,0,B_corridor,post,44,89,46,0.7666666666666667,5490.115620355922,5490.115620355922,0.0,13172.13143522429,5488.76459412274,7159.258166247052,0.0,395163.9430567287,71.9773444463653,1.1996224074394215,5.965639236967522,14.995891197681933,0.0,180.22137936530353,276,0,0.0,8280.0,8280.0,0.5,0.7961279174774307,0.7947092123805753,0,0,0,True,40,42,142.0,90.0,52.0,3,4,65.86065717612145,154.6208692005782,0.011996224074394216,0.028163499622354798,0.6,2.347697029306865
balanced_medium,fixed,0,B_corridor,total,30,89,60,1.0,7205.289901892303,7205.289901892303,0.0,17275.819403506746,7196.550528057851,7196.550528057851,0.0,519518.4996981435,72.10237294709044,1.2017062157848408,6.012945598358143,17.384754774427947,0.0,180.22137936530353,360,8,0.022598870056497175,10770.0,10830.0,0.4986111111111111,0.8027488091118202,0.7968803997573806,3,5,5,True,40,42,142.0,90.0,52.0,3,4,86.58641661635725,203.2786730685485,0.012017062157848408,0.02821242112897665,0.6,2.347697029306865
balanced_medium,fixed,1,A_no_override,during,40,43,4,0.06666666666666667,472.72524179500107,472.72524179500107,0.0,1136.834587745138,476.69761878462157,7150.464281769324,0.0,34105.037632354135,72.14558186665205,1.2024263644442008,5.921013477839259,14.872178256277362,0.0,158.32525452652118,24,0,0.0,720.0,720.0,0.5,0.7948422196025879,0.7840947078212145,0,0,0,True,40,43,207.61027321397296,90.0,117.61027321397296,3,0,5.684172938725689,13.344715922312774,0.012024263644442009,0.028229328037659044,0.6,2.347697029306865
balanced_medium,fixed,1,A_no_override,post,44,89,46,0.7666666666666667,5479.077977956555,5479.077977956555,0.0,13106.54506882977,5471.4037635523355,7136.6136046334805,0.0,393196.3520648931,71.76323345767337,1.1960538909612228,5.93593526668015,14.988512358785085,0.0,165.99946893074105,276,0,0.0,8280.0,8280.0,0.5,0.8016242657321352,0.7812918053825695,0,0,0,True,40,43,207.61027321397296,90.0,117.61027321397296,3,0,65.53272534414884,153.85098461284096,0.011960538909612226,0.028079721667005793,0.6,2.347697029306865
balanced_medium,fixed,1,A_no_override,total,30,89,60,1.0,7147.969356035993,7147.969356035993,0.0,17120.818097392454,7152.62587862233,7152.62587862233,0.0,513624.5429217737,71.85600795672849,1.1976001326121415,5.944728506039048,14.988512358785085,0.0,165.99946893074105,360,0,0.0,10800.0,10800.0,0.5,0.8014153850478642,0.7838455498958803,0,0,0,True,40,43,207.61027321397296,90.0,117.61027321397296,3,0,85.60409048696228,200.9724689327574,0.011976001326121413,0.02811602273631032,0.6,2.347697029306865
balanced_medium,fixed,1,B_corridor,during,40,43,4,0.06666666666666667,472.72524179500107,472.72524179500107,0.0,1131.8021038780003,472.2813976286153,7084.22096442923,0.0,35610.267163069126,75.32973493831675,1.2554955823052791,6.1823380491439455,20.496078049119966,3.6827748204528064,159.0587008620747,24,6,0.3333333333333333,690.0,750.0,0.4791666666666667,0.8230002564606627,0.7519092358935242,3,5,5,True,40,42,142.0,90.0,52.0,3,4,5.935044527178187,13.933686405260197,0.01255495582305279,0.029475232488859963,0.6,2.347697029306865
