scenario,seed,controller,PROXY_LABEL,waiting_vehicle_seconds_measured,vehicles_admitted,fuel_liters_proxy,co2_kg_proxy,fuel_liters_proxy_per_admitted,co2_kg_proxy_per_admitted,fuel_proxy_pct_vs_fixed,co2_proxy_pct_vs_fixed,idle_fuel_rate_lph_assumed,emission_factor_kg_per_liter_assumed
balanced_medium,0,fixed,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",518274.58210520237,7205.289901892303,86.37909701753372,202.7919494622734,0.01198828890907613,0.028144870258310466,0.0,0.0,0.6,2.347697029306865
balanced_medium,0,adaptive,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",548187.2029158686,7205.289901892303,91.36453381931143,214.49624463160407,0.01268020233236093,0.02976927334669374,5.771577816755524,5.771577816755533,0.6,2.347697029306865
balanced_medium,0,qubo_static,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",518274.58210520237,7205.289901892303,86.37909701753372,202.7919494622734,0.01198828890907613,0.028144870258310466,0.0,0.0,0.6,2.347697029306865
balanced_medium,0,qubo_receding,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",518274.58210520237,7205.289901892303,86.37909701753372,202.7919494622734,0.01198828890907613,0.028144870258310466,0.0,0.0,0.6,2.347697029306865
balanced_medium,0,qaoa_p1_saved,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",757523.5564279467,7083.563887055177,126.25392607132443,296.4059671759769,0.01782350354770521,0.04184418633078788,46.1625907546784,46.1625907546784,0.6,2.347697029306865
balanced_medium,1,fixed,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",513624.5429217737,7147.969356035993,85.60409048696228,200.9724689327574,0.011976001326121413,0.02811602273631032,0.0,0.0,0.6,2.347697029306865
balanced_medium,1,adaptive,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",544881.5132598132,7147.969356035993,90.8135855433022,213.20278500071544,0.01270480901916795,0.02982704239221166,6.085567905348328,6.085567905348331,0.6,2.347697029306865
balanced_medium,1,qubo_static,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",513624.5429217737,7147.969356035993,85.60409048696228,200.9724689327574,0.011976001326121413,0.02811602273631032,0.0,0.0,0.6,2.347697029306865
balanced_medium,1,qubo_receding,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",513624.5429217737,7147.969356035993,85.60409048696228,200.9724689327574,0.011976001326121413,0.02811602273631032,0.0,0.0,0.6,2.347697029306865
balanced_medium,2,fixed,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",514351.10888329695,7140.002581027705,85.72518481388282,201.25676172433467,0.012006324065157952,0.028187211340666846,0.0,0.0,0.6,2.347697029306865
balanced_medium,2,adaptive,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",546421.5111909786,7140.002581027705,91.0702518651631,213.8053597620714,0.012754932625256109,0.02994471743332298,6.235118726060385,6.235118726060387,0.6,2.347697029306865
balanced_medium,2,qubo_static,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",514351.10888329695,7140.002581027705,85.72518481388282,201.25676172433467,0.012006324065157952,0.028187211340666846,0.0,0.0,0.6,2.347697029306865
balanced_medium,2,qubo_receding,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",514351.10888329695,7140.002581027705,85.72518481388282,201.25676172433467,0.012006324065157952,0.028187211340666846,0.0,0.0,0.6,2.347697029306865
balanced_medium,3,fixed,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",518867.1623206496,7200.3076229423605,86.47786038677492,203.0238159308453,0.012010300797597908,0.028196547503602478,0.0,0.0,0.6,2.347697029306865
balanced_medium,3,adaptive,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",553740.507987884,7200.3076229423605,92.29008466464732,216.6691576016716,0.012817519680767967,0.030091652877621236,6.72105467443002,6.72105467443003,0.6,2.347697029306865
balanced_medium,3,qubo_static,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",518867.1623206496,7200.3076229423605,86.47786038677492,203.0238159308453,0.012010300797597908,0.028196547503602478,0.0,0.0,0.6,2.347697029306865
balanced_medium,3,qubo_receding,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",518867.1623206496,7200.3076229423605,86.47786038677492,203.0238159308453,0.012010300797597908,0.028196547503602478,0.0,0.0,0.6,2.347697029306865
balanced_medium,4,fixed,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",523752.6538869913,7279.566250065799,87.29210898116523,204.93542493701273,0.011991388769952633,0.028152147792481503,0.0,0.0,0.6,2.347697029306865
balanced_medium,4,adaptive,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",559850.4269709832,7279.566250065799,93.30840449516386,219.0598640426595,0.012817852230456788,0.030092433603537774,6.89214132207156,6.892141322071554,0.6,2.347697029306865
balanced_medium,4,qubo_static,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",523752.6538869913,7279.566250065799,87.29210898116523,204.93542493701273,0.011991388769952633,0.028152147792481503,0.0,0.0,0.6,2.347697029306865
balanced_medium,4,qubo_receding,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",523752.6538869913,7279.566250065799,87.29210898116523,204.93542493701273,0.011991388769952633,0.028152147792481503,0.0,0.0,0.6,2.347697029306865
ns_heavy,0,fixed,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",990031.7559522195,6841.531057553657,165.00529265870324,387.38243539474746,0.024118182212521388,0.05662218473261813,0.0,0.0,0.6,2.347697029306865
ns_heavy,0,adaptive,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",759176.9200134319,7894.94272130878,126.52948666890532,297.0528999723116,0.016026650367886388,0.037625719458426646,-23.317922334395195,-23.317922334395195,0.6,2.347697029306865
ns_heavy,0,qubo_static,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",582909.6536482377,7900.000735872146,97.15160894137294,228.08254370404353,0.012297670872387277,0.028871205374497173,-41.12212561428486,-41.122125614284855,0.6,2.347697029306865
ns_heavy,0,qubo_receding,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",662445.3805205956,7899.333985870293,110.40756342009927,259.2035086543763,0.013976819263192015,0.032813337063354854,-33.088471502264994,-33.088471502265,0.6,2.347697029306865
ns_heavy,0,qaoa_p1_saved,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",582909.6536482377,7900.000735872146,97.15160894137294,228.08254370404353,0.012297670872387277,0.028871205374497173,-41.12212561428486,-41.122125614284855,0.6,2.347697029306865
ns_heavy,1,fixed,"SIMULATION PROXY (waiting/idling only) - estimate, not a measurement",987635.8332371982,6810.103139538778,164.60597220619968,386.4449519546634,0.024170848639650383,0.056745829547133086,0.0,0.0,0.6,2.347697029306865
