scenario,base_controller,seeds,A_emergency_travel_time_s_mean,B_emergency_travel_time_s_mean,diff_emergency_travel_time_s_mean,emergency_travel_time_s_seeds_better,emergency_travel_time_s_seeds_worse,A_emergency_delay_s_mean,B_emergency_delay_s_mean,diff_emergency_delay_s_mean,emergency_delay_s_seeds_better,emergency_delay_s_seeds_worse,A_signal_stops_mean,B_signal_stops_mean,diff_signal_stops_mean,signal_stops_seeds_better,signal_stops_seeds_worse,during_total_waiting_time_A_mean,during_total_waiting_time_B_mean,during_total_waiting_time_diff_mean,during_total_waiting_time_seeds_worse_for_normal_traffic,during_total_waiting_time_seeds_better_for_normal_traffic,during_waiting_per_admitted_A_mean,during_waiting_per_admitted_B_mean,during_waiting_per_admitted_diff_mean,during_waiting_per_admitted_seeds_worse_for_normal_traffic,during_waiting_per_admitted_seeds_better_for_normal_traffic,during_average_queue_length_A_mean,during_average_queue_length_B_mean,during_average_queue_length_diff_mean,during_average_queue_length_seeds_worse_for_normal_traffic,during_average_queue_length_seeds_better_for_normal_traffic,during_max_queue_length_A_mean,during_max_queue_length_B_mean,during_max_queue_length_diff_mean,during_max_queue_length_seeds_worse_for_normal_traffic,during_max_queue_length_seeds_better_for_normal_traffic,during_throughput_per_hour_A_mean,during_throughput_per_hour_B_mean,during_throughput_per_hour_diff_mean,during_throughput_per_hour_seeds_worse_for_normal_traffic,during_throughput_per_hour_seeds_better_for_normal_traffic,during_vehicles_rejected_A_mean,during_vehicles_rejected_B_mean,during_vehicles_rejected_diff_mean,during_vehicles_rejected_seeds_worse_for_normal_traffic,during_vehicles_rejected_seeds_better_for_normal_traffic,during_total_blocked_A_mean,during_total_blocked_B_mean,during_total_blocked_diff_mean,during_total_blocked_seeds_worse_for_normal_traffic,during_total_blocked_seeds_better_for_normal_traffic,during_final_queue_total_A_mean,during_final_queue_total_B_mean,during_final_queue_total_diff_mean,during_final_queue_total_seeds_worse_for_normal_traffic,during_final_queue_total_seeds_better_for_normal_traffic,post_total_waiting_time_A_mean,post_total_waiting_time_B_mean,post_total_waiting_time_diff_mean,post_total_waiting_time_seeds_worse_for_normal_traffic,post_total_waiting_time_seeds_better_for_normal_traffic,post_waiting_per_admitted_A_mean,post_waiting_per_admitted_B_mean,post_waiting_per_admitted_diff_mean,post_waiting_per_admitted_seeds_worse_for_normal_traffic,post_waiting_per_admitted_seeds_better_for_normal_traffic,post_average_queue_length_A_mean,post_average_queue_length_B_mean,post_average_queue_length_diff_mean,post_average_queue_length_seeds_worse_for_normal_traffic,post_average_queue_length_seeds_better_for_normal_traffic,post_max_queue_length_A_mean,post_max_queue_length_B_mean,post_max_queue_length_diff_mean,post_max_queue_length_seeds_worse_for_normal_traffic,post_max_queue_length_seeds_better_for_normal_traffic,post_throughput_per_hour_A_mean,post_throughput_per_hour_B_mean,post_throughput_per_hour_diff_mean,post_throughput_per_hour_seeds_worse_for_normal_traffic,post_throughput_per_hour_seeds_better_for_normal_traffic,post_vehicles_rejected_A_mean,post_vehicles_rejected_B_mean,post_vehicles_rejected_diff_mean,post_vehicles_rejected_seeds_worse_for_normal_traffic,post_vehicles_rejected_seeds_better_for_normal_traffic,post_total_blocked_A_mean,post_total_blocked_B_mean,post_total_blocked_diff_mean,post_total_blocked_seeds_worse_for_normal_traffic,post_total_blocked_seeds_better_for_normal_traffic,post_final_queue_total_A_mean,post_final_queue_total_B_mean,post_final_queue_total_diff_mean,post_final_queue_total_seeds_worse_for_normal_traffic,post_final_queue_total_seeds_better_for_normal_traffic,total_total_waiting_time_A_mean,total_total_waiting_time_B_mean,total_total_waiting_time_diff_mean,total_total_waiting_time_seeds_worse_for_normal_traffic,total_total_waiting_time_seeds_better_for_normal_traffic,total_waiting_per_admitted_A_mean,total_waiting_per_admitted_B_mean,total_waiting_per_admitted_diff_mean,total_waiting_per_admitted_seeds_worse_for_normal_traffic,total_waiting_per_admitted_seeds_better_for_normal_traffic,total_average_queue_length_A_mean,total_average_queue_length_B_mean,total_average_queue_length_diff_mean,total_average_queue_length_seeds_worse_for_normal_traffic,total_average_queue_length_seeds_better_for_normal_traffic,total_max_queue_length_A_mean,total_max_queue_length_B_mean,total_max_queue_length_diff_mean,total_max_queue_length_seeds_worse_for_normal_traffic,total_max_queue_length_seeds_better_for_normal_traffic,total_throughput_per_hour_A_mean,total_throughput_per_hour_B_mean,total_throughput_per_hour_diff_mean,total_throughput_per_hour_seeds_worse_for_normal_traffic,total_throughput_per_hour_seeds_better_for_normal_traffic,total_vehicles_rejected_A_mean,total_vehicles_rejected_B_mean,total_vehicles_rejected_diff_mean,total_vehicles_rejected_seeds_worse_for_normal_traffic,total_vehicles_rejected_seeds_better_for_normal_traffic,total_total_blocked_A_mean,total_total_blocked_B_mean,total_total_blocked_diff_mean,total_total_blocked_seeds_worse_for_normal_traffic,total_total_blocked_seeds_better_for_normal_traffic,total_final_queue_total_A_mean,total_final_queue_total_B_mean,total_final_queue_total_diff_mean,total_final_queue_total_seeds_worse_for_normal_traffic,total_final_queue_total_seeds_better_for_normal_traffic
balanced_medium,adaptive,5,248.60392020425041,153.46072417458709,-95.14319602966334,5,0,158.60392020425041,63.460724174587085,-95.14319602966334,5,0,3.8,3.6,-0.2,2,1,46834.437516383645,48032.86562813902,1198.4281117553794,5,0,77.2555272757842,79.28535045116557,2.0298231753813782,5,0,6.514334512616726,6.686915932033794,0.17258141941706776,5,0,18.671462095135972,20.2759240735605,1.6044619784245249,3,0,7266.122487707927,7274.228851104192,8.106363396265625,2,3,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,10.752989945617623,11.600663751659678,0.8476738060420554,2,2,413310.95218331803,413379.1166881524,68.16450483440421,4,1,76.7682460354978,76.78103265356896,0.01278661807116066,4,1,6.378942739379282,6.380011755602095,0.0010690162228137012,4,1,19.693198179203637,19.687592055108787,-0.005606124094846621,0,1,7190.411728198332,7189.339197975673,-1.0725302226581335,3,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,9.234436044429343,9.234436044429343,0.0,0,0,550616.2324651055,551882.8250816952,1266.5926165897865,5,0,76.5303790656117,76.70620028785694,0.17582122224524427,5,0,6.372873060938721,6.387532697704807,0.014659636766085527,5,0,19.693198179203637,20.737243263431804,1.0440450842281692,3,1,7186.661456395459,7186.661456395459,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,9.234436044429343,9.234436044429343,0.0,0,0
balanced_medium,fixed,5,207.29177118835597,141.46072417458709,-65.83104701376888,5,0,117.29177118835597,51.460724174587085,-65.83104701376888,5,0,3.4,3.0,-0.4,2,0,34911.5147730802,36466.768144158144,1555.2533710779535,5,0,71.92939169343751,75.1300800687759,3.200688375338399,5,0,6.0610268703264225,6.331036136138567,0.2700092658121447,5,0,14.855444269351448,19.457871845661444,4.602427576309995,5,0,7287.138307319324,7209.845143306765,-77.29316401255838,5,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,3.1645608546830113,3.1645608546830113,4,0,396405.20728389657,396668.7563051545,263.5490212579025,5,0,72.0191992102733,72.06686127770243,0.047662067429115496,5,0,5.9843781292858775,5.988356828278298,0.003978698992420071,5,0,14.98483397502847,15.10429759269112,0.11946361766264957,3,0,7186.90176752229,7193.622912219034,6.721144696743977,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,517774.01002358284,519592.8124159186,1818.802392335853,5,0,71.96676464148725,72.21929992172433,0.25253528023708044,5,0,5.992754745643319,6.0138056992583175,0.021050953614998313,5,0,14.99043675950011,19.457871845661444,4.467435086161334,5,0,7195.000672238672,7195.000672238672,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
balanced_medium,qaoa_p1_static,5,277.6298571603925,158.49422691548497,-119.1356302449075,5,0,187.62985716039248,68.49422691548497,-119.1356302449075,5,0,3.4,3.0,-0.4,2,0,63228.082499742915,60590.5670207987,-2637.5154789442254,3,2,97.1354570015738,94.53533428247424,-2.6001227190995535,3,2,8.157501642022055,7.941114822432692,-0.21638681958936362,3,2,34.39088841677567,35.17433964910175,0.7834512323260888,1,1,6995.804629429517,7105.830007820981,110.02537839146389,3,2,3.95919586990791,3.95919586990791,0.0,0,0,14.589595657133922,3.608203971049993,-10.981391686083928,0,2,65.92552475827208,48.979741616011566,-16.945783142260517,2,2,614919.145200735,603838.462542125,-11080.682658609958,3,2,119.33772607771782,116.63014621099276,-2.7075798667250526,3,2,9.591205070550616,9.412166626409942,-0.17903844414067543,3,2,34.997702471757016,34.997702471757016,0.0,0,0,6938.675483261798,6941.365940196166,2.690456934368376,0,4,149.99016995896338,133.99016995896338,-15.999999999999995,0,2,301.78523707768375,280.4420880385666,-21.343149039117094,0,2,95.16300283643969,95.16300283643969,0.0,0,0,774372.95438058,760654.7562430259,-13718.198137554142,3,2,110.24520193642434,107.98430198289422,-2.2608999535301164,3,2,8.962649934960417,8.80387449355354,-0.15877544140687688,3,2,34.997702471757016,36.09921560982399,1.101513138066976,1,0,6947.945624566755,6963.945624566755,15.999999999999819,0,2,153.9493658288713,137.9493658288713,-15.999999999999995,0,2,316.3748327348177,284.0502920096166,-32.32454072520103,0,2,95.16300283643969,95.16300283643969,0.0,0,0
balanced_medium,qubo_exact_static,5,207.29177118835597,141.46072417458709,-65.83104701376888,5,0,117.29177118835597,51.460724174587085,-65.83104701376888,5,0,3.4,3.0,-0.4,2,0,34911.5147730802,36466.768144158144,1555.2533710779535,5,0,71.92939169343751,75.1300800687759,3.200688375338399,5,0,6.0610268703264225,6.331036136138567,0.2700092658121447,5,0,14.855444269351448,19.457871845661444,4.602427576309995,5,0,7287.138307319324,7209.845143306765,-77.29316401255838,5,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,3.1645608546830113,3.1645608546830113,4,0,396405.20728389657,396668.7563051545,263.5490212579025,5,0,72.0191992102733,72.06686127770243,0.047662067429115496,5,0,5.9843781292858775,5.988356828278298,0.003978698992420071,5,0,14.98483397502847,15.10429759269112,0.11946361766264957,3,0,7186.90176752229,7193.622912219034,6.721144696743977,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,517774.01002358284,519592.8124159186,1818.802392335853,5,0,71.96676464148725,72.21929992172433,0.25253528023708044,5,0,5.992754745643319,6.0138056992583175,0.021050953614998313,5,0,14.99043675950011,19.457871845661444,4.467435086161334,5,0,7195.000672238672,7195.000672238672,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
balanced_medium,qubo_receding,5,207.29177118835597,141.46072417458709,-65.83104701376888,5,0,117.29177118835597,51.460724174587085,-65.83104701376888,5,0,3.4,3.0,-0.4,2,0,34911.5147730802,36405.80954315271,1494.2947700725185,5,0,71.92939169343751,75.00137456932312,3.071982875885621,5,0,6.0610268703264225,6.320453045686234,0.2594261753598122,5,0,14.855444269351448,19.457871845661444,4.602427576309995,5,0,7287.138307319324,7213.919686356971,-73.21862096235255,5,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,2.512281983503813,2.512281983503813,4,0,396405.20728389657,396662.13546398544,256.9281800888595,5,0,72.0191992102733,72.06564061108665,0.046441400813338876,5,0,5.9843781292858775,5.988256875965964,0.0038787466800854985,5,0,14.98483397502847,15.006875710885703,0.022041735857233034,3,0,7186.90176752229,7193.268604127712,6.36683660542185,0,5,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,517774.01002358284,519525.23297374416,1751.222950161365,5,0,71.96676464148725,72.20984382854678,0.24307918705953852,5,0,5.992754745643319,6.013023529788706,0.02026878414538604,5,0,14.99043675950011,19.457871845661444,4.467435086161334,5,0,7195.000672238672,7195.000672238672,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
ew_heavy,adaptive,5,366.2984578014217,266.0,-100.29845780142168,5,0,276.2984578014217,176.0,-100.29845780142168,5,0,4.0,3.6,-0.4,2,0,97124.83970785412,98728.13606774443,1603.2963598903182,4,1,128.1168485303321,130.80509077442778,2.688242244095676,4,1,9.635400764668066,9.794457943228615,0.15905717856054694,4,1,38.97955244288387,39.95772651955247,0.9781740766686028,2,1,6523.698417688386,6395.126989116958,-128.57142857142844,3,0,2.953545027687383,6.062416026630979,3.1088709989435954,4,1,0.0,0.0,0.0,0,0,85.12890329253067,102.02003229358706,16.891129001056406,4,1,613342.3227146013,608889.736071591,-4452.586643010354,3,2,133.14728050803723,132.14854727745006,-0.9987332305871689,3,2,9.905399268646661,9.833490569631637,-0.07190869901502488,3,2,40.0,40.0,0.0,0,0,6411.453356277168,6430.454090250763,19.00073397359629,0,4,19.91242886655214,18.944997859146547,-0.9674310074055938,2,3,0.0,0.0,0.0,0,0,100.88175698602274,101.12312431340715,0.24136732738440117,2,3,845235.6110724375,842386.3207893174,-2849.290283120051,3,2,131.42385605945708,131.02519945157238,-0.3986566078847204,3,2,9.782819572597655,9.749841675802283,-0.03297789679537111,3,2,40.0,40.0,0.0,0,0,6408.63823198459,6407.255424665667,-1.3828073189222778,3,1,36.656004151608975,38.79744414314698,2.1414399915380016,3,2,0.0,0.0,0.0,0,0,100.88175698602274,101.12312431340715,0.24136732738440117,2,3
ew_heavy,fixed,5,433.1782188192045,302.0,-131.17821881920455,5,0,343.1782188192045,212.0,-131.17821881920455,5,0,4.0,4.0,0.0,0,0,108245.26324356165,112484.63368332802,4239.370439766385,5,0,140.91451616191642,143.7607093330275,2.8461931711110764,5,0,9.396290212114726,9.764291118344447,0.3680009062297206,5,0,40.0,40.0,0.0,0,0,5775.505217802913,5700.505217802913,-75.0,5,0,98.85491658927714,84.59604370403025,-14.258872885246884,0,5,0.0,0.0,0.0,0,0,98.50200083948653,122.76087372473341,24.258872885246895,5,0,567812.5794734185,630743.5571044618,62930.97763104322,5,0,140.9044133099956,156.492266351126,15.587853041130415,5,0,9.388435507166312,10.428960930960017,1.040525423793704,5,0,40.0,40.0,0.0,0,0,5758.579292243241,5758.579292243241,0.0,0,0,490.48515828007373,489.7440311653207,-0.7411271147531011,0,2,0.0,0.0,0.0,0,0,99.27216899174482,124.27216899174482,25.0,5,0,811511.0929581277,878681.4410289373,67170.34807080962,5,0,140.83410281265327,152.09524683165228,11.26114401899901,5,0,9.392489501830182,10.169924085983073,0.7774345841528895,5,0,40.0,40.0,0.0,0,0,5762.738044866298,5752.738044866298,-10.0,5,0,705.4448657358628,690.4448657358628,-15.0,0,5,0.0,0.0,0.0,0,0,99.27216899174482,124.27216899174482,25.0,5,0
ns_heavy,adaptive,5,250.0,146.0,-104.0,5,0,160.0,56.0,-104.0,5,0,4.0,3.0,-1.0,5,0,63274.745447701,74329.46174103346,11054.716293332453,5,0,94.53841524532717,112.72720690032224,18.18879165499507,5,0,8.788159089958473,10.323536352921314,1.5353772629628413,5,0,36.40976851424288,40.0,3.5902314857571227,5,0,8081.836429229204,7551.245145271515,-530.59128395769,5,0,0.0,9.721031241849673,9.721031241849673,5,0,0.0,0.0,0.0,0,0,68.5919289261539,91.9676220673793,23.375693141225394,5,0,569320.3925625922,585862.0034201307,16541.610857538435,5,0,96.17339468499982,98.99763326420438,2.8242385792045526,5,0,8.785808527200498,9.041080299693375,0.2552717724928769,5,0,39.85878275889984,40.0,0.14121724110015493,1,0,7902.079169456056,7941.677253200876,39.59808374482127,0,5,3.083196106479997,4.9833828702088905,1.9001867637288938,4,1,0.0,0.0,0.0,0,0,61.51825679000673,66.0262174154658,4.507960625459068,5,0,770270.3100934464,797866.6372443172,27596.327150870835,5,0,97.52207832808388,101.16521249294155,3.6431341648576647,5,0,8.915165626081555,9.234567560698116,0.31940193461656075,5,0,40.0,40.0,0.0,0,0,7966.966722858966,7952.4493453377745,-14.517377521191339,5,0,23.056916109561854,34.67813411514042,11.621218005578566,5,0,0.0,0.0,0.0,0,0,61.51825679000673,66.0262174154658,4.507960625459068,5,0
ns_heavy,fixed,5,242.0,142.0,-100.0,5,0,152.0,52.0,-100.0,5,0,4.0,3.0,-1.0,5,0,82530.40204558501,87597.24991006663,5066.847864481603,5,0,144.80408948647272,158.17814074486978,13.374051258397055,5,0,11.462555839664585,12.166284709731475,0.7037288700668889,5,0,40.0,40.0,0.0,0,0,6843.821893283091,6363.821893283092,-480.0,5,0,99.1065076166655,115.26511093439578,16.158603317730282,5,0,0.0,0.0,0.0,0,0,148.60905268326624,172.45044936553595,23.841396682269714,5,0,741976.8614521908,809392.7658833966,67415.90443120578,5,0,144.79218844359298,157.9123689233758,13.120180479782812,5,0,11.450260207595537,12.490629103138835,1.040368895543299,5,0,40.0,40.0,0.0,0,0,6835.323017435478,6835.323017435478,0.0,0,0,798.27564087344,797.1170375557097,-1.158603317730308,1,2,0.0,0.0,0.0,0,0,147.57773196740172,172.57773196740172,25.0,5,0,989495.3394585645,1061978.0917542519,72482.75229568737,5,0,144.79532109545715,155.7437463426315,10.94842524717435,5,0,11.452492354844496,12.291413099007546,0.8389207441630482,5,0,40.0,40.0,0.0,0,0,6834.762291253038,6794.762291253038,-40.0,5,0,1087.845754466842,1102.845754466842,15.0,5,0,0.0,0.0,0.0,0,0,147.57773196740172,172.57773196740172,25.0,5,0
