ABLATION,route,link_seconds,lead_seconds,seeds,A_travel_time_mean_s,B_travel_time_mean_s,diff_travel_time_mean_s,A_delay_mean_s,B_delay_mean_s,seeds_corridor_faster,seeds_corridor_slower,total_waiting_time_diff_mean,total_waiting_time_pct_mean
assumption sensitivity (not the primary result),primary I1-I2-I3-I6,30.0,0.0,5,207.29177118835597,141.46072417458709,-65.83104701376888,117.29177118835597,51.460724174587085,5,0,1818.802392335853,0.3508887294884721
assumption sensitivity (not the primary result),row I1-I2-I3,30.0,0.0,5,176.4053232721896,92.0,-84.40532327218962,116.40532327218962,32.0,5,0,1470.023847664136,0.2836535455033275
assumption sensitivity (not the primary result),west-bound I6-I5-I4-I1,30.0,0.0,5,233.52685586037325,154.0,-79.52685586037323,143.52685586037325,64.0,5,0,2453.824925099837,0.4745703264450246
assumption sensitivity (not the primary result),north-south I1-I4,30.0,0.0,5,62.0,62.0,0.0,32.0,32.0,0,0,1631.660977625684,0.3145709989249629
assumption sensitivity (not the primary result),primary I1-I2-I3-I6,20.0,0.0,5,203.8219549957941,122.0,-81.82195499579412,143.8219549957941,62.0,5,0,3015.207399027981,0.5814865348642774
assumption sensitivity (not the primary result),primary I1-I2-I3-I6,45.0,0.0,5,242.0,201.84959384444136,-40.15040615555863,107.0,66.84959384444137,5,0,3223.2894400543883,0.621851453325297
assumption sensitivity (not the primary result),primary I1-I2-I3-I6,60.0,0.0,5,242.0,206.48915394796595,-35.51084605203405,62.0,26.489153947965953,5,0,1301.2991259922157,0.2512351576711197
assumption sensitivity (not the primary result),primary I1-I2-I3-I6,30.0,30.0,5,207.29177118835597,141.6956603036727,-65.59611088468327,117.29177118835597,51.69566030367268,5,0,3015.207399027981,0.5814865348642774
assumption sensitivity (not the primary result),primary I1-I2-I3-I6,30.0,60.0,5,207.29177118835597,141.6956603036727,-65.59611088468327,117.29177118835597,51.69566030367268,5,0,4183.241316444439,0.8069934833563108
