scenario,seed,controller,cycles,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,demand_generated,vehicles_served,in_transit_final,share_NS20/EW40,share_NS30/EW30,share_NS40/EW20,plan_switches,plan_switch_rate
low,0,fixed,120,9613.382540176844,0.0,9496.02126050233,4748.010630251165,687584.3342325444,3.9790760082901877,9.999543697186333,0.0,0.0,9613.382540176844,22919.477807751482,117.36127967451586,0.0,1.0,0.0,0,0.0
low,0,adaptive,120,9613.382540176844,0.0,9496.02126050233,4748.010630251165,687584.3342325444,3.9790760082901877,9.999543697186333,0.0,0.0,9613.382540176844,22919.477807751482,117.36127967451586,0.030555555555555555,0.9333333333333333,0.03611111111111111,87,0.12184873949579832
low,0,adaptive_dwell2,120,9613.382540176844,0.0,9496.02126050233,4748.010630251165,687584.3342325444,3.9790760082901877,9.999543697186333,0.0,0.0,9613.382540176844,22919.477807751482,117.36127967451586,0.04027777777777778,0.9027777777777778,0.05694444444444444,68,0.09523809523809523
low,1,fixed,120,9540.046786304092,0.0,9432.364269953585,4716.182134976792,681368.1028356531,3.943102446965585,9.99234157252339,0.0,0.0,9540.046786304092,22712.27009452177,107.68251635050682,0.0,1.0,0.0,0,0.0
low,1,adaptive,120,9540.046786304092,0.0,9432.364269953585,4716.182134976792,681368.1028356531,3.943102446965585,9.99234157252339,0.0,0.0,9540.046786304092,22712.27009452177,107.68251635050682,0.027777777777777776,0.9458333333333333,0.02638888888888889,75,0.10504201680672269
low,1,adaptive_dwell2,120,9540.046786304092,0.0,9432.364269953585,4716.182134976792,681368.1028356531,3.943102446965585,9.99234157252339,0.0,0.0,9540.046786304092,22712.27009452177,107.68251635050682,0.044444444444444446,0.9194444444444444,0.03611111111111111,54,0.07563025210084033
low,2,fixed,120,9552.042889605384,0.0,9440.494237187824,4720.247118593912,683582.8798911057,3.955919443814269,9.99773301492282,0.0,0.0,9552.042889605384,22786.095996370186,111.54865241755911,0.0,1.0,0.0,0,0.0
low,2,adaptive,120,9552.042889605384,0.0,9440.494237187824,4720.247118593912,683582.8798911057,3.955919443814269,9.99773301492282,0.0,0.0,9552.042889605384,22786.095996370186,111.54865241755911,0.02361111111111111,0.9444444444444444,0.03194444444444444,77,0.10784313725490197
low,2,adaptive_dwell2,120,9552.042889605384,0.0,9440.494237187824,4720.247118593912,683582.8798911057,3.955919443814269,9.99773301492282,0.0,0.0,9552.042889605384,22786.095996370186,111.54865241755911,0.03611111111111111,0.9166666666666666,0.04722222222222222,59,0.08263305322128851
low,3,fixed,120,9577.44809841183,0.0,9463.229123188281,4731.6145615941405,685437.0409325177,3.9666495424335517,9.998246068107475,0.0,0.0,9577.44809841183,22847.901364417256,114.21897522355029,0.0,1.0,0.0,0,0.0
